maturity_guarantee,fair_price,standard_error,survival_percentage,average_survival_payoff
100000,100055.43681606455,644.9215251235,52.96,230793.0211893148
110000,100604.26579113431,640.3868145245818,52.96,233099.36814316738
120000,101238.84936072223,635.4932060105143,52.96,235766.08209080104
130000,101967.54970821564,630.2660957694432,52.96,238828.30348044084
140000,102790.45056296467,624.800952271031,52.96,242286.38416838538
150000,103721.39128136873,619.1034366093143,52.96,246198.48135646764
