Simulation_ID,Event_Type,Event_Time,Event_Step
234,Death,6.0,72
235,Lapse,9.0,108
236,Lapse,0.16666666666666666,2
237,Lapse,0.8333333333333333,10
238,Survival,10.0,120
239,Survival,10.0,120
240,Lapse,1.0,12
241,Survival,10.0,120
242,Disability,2.083333333333333,25
243,Survival,10.0,120
244,Lapse,2.9166666666666665,35
245,Survival,10.0,120
246,Lapse,1.8333333333333333,22
247,Survival,10.0,120
248,Survival,10.0,120
249,Survival,10.0,120
250,Lapse,1.25,15
251,Survival,10.0,120
252,Survival,10.0,120
253,Survival,10.0,120
254,Survival,10.0,120
255,Survival,10.0,120
256,Survival,10.0,120
257,Survival,10.0,120
258,Disability,0.16666666666666666,2
259,Survival,10.0,120
260,Death,3.083333333333333,37
261,Death,0.5833333333333333,7
262,Survival,10.0,120
263,Survival,10.0,120
264,Death,4.833333333333333,58
265,Survival,10.0,120
266,Lapse,2.25,27
267,Survival,10.0,120
268,Lapse,5.5,66
269,Lapse,1.25,15
270,Lapse,0.75,9
271,Survival,10.0,120
272,Lapse,5.916666666666666,71
273,Death,5.333333333333333,64
274,Survival,10.0,120
275,Survival,10.0,120
276,Lapse,0.3333333333333333,4
277,Lapse,2.25,27
278,Survival,10.0,120
279,Survival,10.0,120
280,Death,9.916666666666666,119
281,Disability,0.5,6
282,Survival,10.0,120
283,Survival,10.0,120
284,Survival,10.0,120
285,Survival,10.0,120
286,Death,1.0833333333333333,13
287,Lapse,2.083333333333333,25
288,Survival,10.0,120
289,Lapse,9.75,117
290,Death,2.0,24
291,Lapse,4.5,54
292,Survival,10.0,120
293,Lapse,5.833333333333333,70
294,Lapse,4.166666666666666,50
295,Survival,10.0,120
296,Survival,10.0,120
297,Survival,10.0,120
298,Lapse,4.833333333333333,58
299,Survival,10.0,120
300,Survival,10.0,120
301,Survival,10.0,120
302,Lapse,0.9166666666666666,11
303,Survival,10.0,120
304,Death,5.333333333333333,64
305,Survival,10.0,120
306,Lapse,9.333333333333332,112
307,Lapse,2.75,33
308,Survival,10.0,120
309,Lapse,3.9166666666666665,47
310,Survival,10.0,120
311,Disability,2.583333333333333,31
312,Survival,10.0,120
