input_lapse_rate,fair_price,standard_error,survival_percentage,lapse_percentage,death_percentage,disability_percentage
0.01,105313.63015775953,703.2720289566324,74.86,8.18,9.74,7.22
0.025,103376.09287220378,662.7405393414103,64.6,19.53,9.18,6.69
0.045,101238.84936072223,635.4932060105143,52.96,32.68,8.38,5.98
0.06,99642.82842425142,609.4742939029496,45.35,41.08,7.98,5.59
0.08,98659.91296829682,594.2145161174318,37.08,50.55,7.37,5.0
0.1,96651.82394909598,546.0834808888125,30.21,58.71,6.61,4.47
0.12,96370.47514269986,527.5127704488315,24.88,64.82,6.17,4.13
