simulation_id,event_type,event_time,event_step,fund_value_at_event,payoff,discount_factor,discounted_payoff
71,Survival,10.0,120,547122.6252966224,547122.6252966224,0.44932896411722156,245838.04246962612
72,Survival,10.0,120,154931.3987628192,154931.3987628192,0.44932896411722156,69615.16491532973
73,Death,7.083333333333333,85,153915.82044153655,153915.82044153655,0.5674136687970038,87333.94036263313
74,Survival,10.0,120,135602.16959852225,135602.16959852225,0.44932896411722156,60929.982397751795
75,Death,4.75,57,76320.95856440226,130000.0,0.6838614092123558,88901.98319760626
76,Survival,10.0,120,334639.47090967244,334639.47090967244,0.44932896411722156,150363.20681657823
77,Lapse,8.416666666666666,101,248788.31503348058,223909.48353013254,0.5100057221966218,114195.11785445783
78,Lapse,2.75,33,102786.06749001617,92507.46074101455,0.8025187979624785,74238.97619644017
79,Lapse,0.6666666666666666,8,78592.53082634072,70733.27774370665,0.9480639384933955,67059.66988024577
80,Lapse,2.6666666666666665,32,92571.150254763,83314.0352292867,0.8078867967299912,67308.30904403808
81,Survival,10.0,120,58844.92916261485,120000.0,0.44932896411722156,53919.47569406659
82,Survival,10.0,120,515379.4873422813,515379.4873422813,0.44932896411722156,231574.93117477198
83,Death,1.0,12,84915.18932215798,130000.0,0.9231163463866358,120005.12503026264
84,Death,3.083333333333333,37,111324.56267263043,130000.0,0.781401117164081,101582.14523133053
85,Lapse,4.5,54,208641.79331228646,187777.61398105783,0.697676326071031,131007.9958406887
86,Lapse,4.333333333333333,52,56305.39585542376,50674.856269881384,0.7070409693051615,35829.19949645667
87,Lapse,2.333333333333333,28,179990.1254123476,161991.11287111285,0.8297202637161938,134407.30889109947
88,Survival,10.0,120,198172.33965128203,198172.33965128203,0.44932896411722156,89044.57209219674
89,Lapse,7.5,90,52858.463237840435,47572.616914056394,0.5488116360940265,26108.405721877647
90,Survival,10.0,120,292919.11782309564,292919.11782309564,0.44932896411722156,131617.04378158195
91,Survival,10.0,120,168141.0372505303,168141.0372505303,0.44932896411722156,75550.63809337594
92,Survival,10.0,120,31672.711874720066,120000.0,0.44932896411722156,53919.47569406659
93,Survival,10.0,120,162656.03539286883,162656.03539286883,0.44932896411722156,73086.06789049188
94,Survival,10.0,120,90513.15372577924,120000.0,0.44932896411722156,53919.47569406659
95,Survival,10.0,120,186930.90610509348,186930.90610509348,0.44932896411722156,83993.47040169526
96,Survival,10.0,120,102691.71450302817,120000.0,0.44932896411722156,53919.47569406659
97,Lapse,5.5,66,113101.50790845147,101791.35711760633,0.6440364210831414,65557.34133521913
98,Lapse,7.75,93,214852.97146929722,193367.6743223675,0.5379444375946745,104021.06481233616
99,Lapse,10.0,120,206782.17221149922,186103.9549903493,0.44932896411722156,83621.89731393168
100,Survival,10.0,120,116377.73497596929,120000.0,0.44932896411722156,53919.47569406659
101,Survival,10.0,120,1003302.8383314991,1003302.8383314991,0.44932896411722156,450813.0250433607
102,Survival,10.0,120,87223.9013853114,120000.0,0.44932896411722156,53919.47569406659
103,Survival,10.0,120,283205.35164152266,283205.35164152266,0.44932896411722156,127252.36728553886
104,Lapse,2.75,33,52908.77472908117,47617.897256173055,0.8025187979624785,38214.257667524806
105,Death,7.166666666666666,86,286865.9081648593,286865.9081648593,0.5636434922238742,161690.10227801447
106,Survival,10.0,120,147212.20622332543,147212.20622332543,0.44932896411722156,66146.70812773761
107,Death,3.5,42,140621.95381716068,140621.95381716068,0.7557837414557255,106279.78638674793
108,Survival,10.0,120,66081.9651056635,120000.0,0.44932896411722156,53919.47569406659
109,Disability,8.666666666666666,104,227124.33234437153,227124.33234437153,0.49990693227598226,113541.02822750543
110,Lapse,0.75,9,158855.88026595578,142970.29223936022,0.9417645335842487,134644.35058720483
111,Lapse,1.6666666666666665,20,130568.34018355126,117511.50616519614,0.8751733190429475,102842.9348763305
112,Survival,10.0,120,237649.30780114577,237649.30780114577,0.44932896411722156,106782.71729746358
113,Lapse,0.41666666666666663,5,89652.28813353303,80687.05932017973,0.9672161004820059,78041.82287502453
114,Survival,10.0,120,389745.8847096051,389745.8847096051,0.44932896411722156,175124.1146455169
115,Lapse,5.583333333333333,67,91733.30350613817,82559.97315552435,0.6397571251117244,52818.331075279406
116,Survival,10.0,120,83909.47373254395,120000.0,0.44932896411722156,53919.47569406659
117,Survival,10.0,120,68734.39860895863,120000.0,0.44932896411722156,53919.47569406659
118,Survival,10.0,120,338879.68702294916,338879.68702294916,0.44932896411722156,152268.45873039
119,Survival,10.0,120,126055.0976591188,126055.0976591188,0.44932896411722156,56640.206452867045
120,Lapse,4.666666666666666,56,40995.95018563993,36896.35516707594,0.6884357160212701,25400.768688021013
121,Death,2.333333333333333,28,103946.60127394421,130000.0,0.8297202637161938,107863.63428310519
122,Survival,10.0,120,46191.12693399043,120000.0,0.44932896411722156,53919.47569406659
123,Survival,10.0,120,120447.77918795735,120447.77918795735,0.44932896411722156,54120.67585274472
124,Survival,10.0,120,33964.43302558502,120000.0,0.44932896411722156,53919.47569406659
125,Lapse,3.6666666666666665,44,114171.04526729905,102753.94074056915,0.7457735080913922,76631.16685630928
126,Death,6.583333333333333,79,93093.88297772208,130000.0,0.5905702599079529,76774.13378803387
127,Lapse,2.75,33,188704.48895076386,169834.04005568748,0.8025187979624785,136295.00967860175
128,Survival,10.0,120,160384.35719285443,160384.35719285443,0.44932896411722156,72065.33707807174
129,Survival,10.0,120,103572.80015551258,120000.0,0.44932896411722156,53919.47569406659
130,Death,9.0,108,147835.360536374,147835.360536374,0.4867522559599717,71959.19525173581
131,Death,1.1666666666666665,14,99787.03526044023,130000.0,0.9108898197456121,118415.67656692957
132,Survival,10.0,120,127996.92990958659,127996.92990958659,0.44932896411722156,57512.727926459156
133,Survival,10.0,120,77794.99032019086,120000.0,0.44932896411722156,53919.47569406659
134,Survival,10.0,120,262999.1349727468,262999.1349727468,0.44932896411722156,118173.12888102964
135,Survival,10.0,120,201205.81688980476,201205.81688980476,0.44932896411722156,90407.60127745534
136,Survival,10.0,120,215163.89833993514,215163.89833993514,0.44932896411722156,96679.37155650623
137,Disability,3.25,39,90040.60363516837,110000.0,0.7710515858035663,84815.67443839229
138,Survival,10.0,120,179854.60339975878,179854.60339975878,0.44932896411722156,80813.88263732733
139,Lapse,9.083333333333332,109,103566.7974119184,93210.11767072655,0.48351803363989776,45068.77281149319
140,Survival,10.0,120,389021.977824782,389021.977824782,0.44932896411722156,174798.84231484204
141,Survival,10.0,120,201872.17946679672,201872.17946679672,0.44932896411722156,90707.01728390162
142,Survival,10.0,120,501770.88215135015,501770.88215135015,0.44932896411722156,225460.19070125063
143,Lapse,9.5,114,237870.11078599285,214083.09970739356,0.46766642700990924,100119.47832336288
144,Lapse,5.583333333333333,67,173405.42730622482,156064.88457560234,0.6397571251117244,99843.62188698046
145,Lapse,3.9166666666666665,47,129729.17627121459,116756.25864409313,0.7310062032185073,85349.54933341654
146,Survival,10.0,120,126387.35335909388,126387.35335909388,0.44932896411722156,56789.498562358895
147,Survival,10.0,120,91139.14439336042,120000.0,0.44932896411722156,53919.47569406659
148,Lapse,8.0,96,207619.98027192184,186857.98224472968,0.5272924240430485,98528.79840961644
149,Lapse,7.25,87,401694.1745497507,361524.7570947756,0.559898366565402,202417.12097031862
150,Lapse,2.1666666666666665,26,61099.48140215478,54989.5332619393,0.8408572823643508,46238.34949711835
151,Lapse,2.833333333333333,34,185885.35545198736,167296.81990678862,0.7971864668291995,133366.7607732537
152,Survival,10.0,120,126142.2993309863,126142.2993309863,0.44932896411722156,56679.38868975656
153,Survival,10.0,120,66300.92310022004,120000.0,0.44932896411722156,53919.47569406659
154,Lapse,3.1666666666666665,38,93737.1825642564,84363.46430783077,0.7762091023287752,65483.688899726985
155,Survival,10.0,120,357408.4013273409,357408.4013273409,0.44932896411722156,160593.9467352063
156,Survival,10.0,120,466499.37385230564,466499.37385230564,0.44932896411722156,209611.68041438897
157,Lapse,5.166666666666666,62,120475.6927004464,108428.12343040176,0.6614417654885042,71718.88939041039
