volatility,fair_price,standard_error
0.1,97710.5743349872,277.37607121913607
0.15,98764.77822834096,415.09884804092127
0.2,100462.66360534869,567.7524876163912
0.22,101238.84936072223,635.4932060105143
0.25,102475.16777013204,746.1789205453715
0.3,104680.69704903467,960.8014629068093
0.35,106955.42702432431,1225.5482786644695
